Date,Open,High,Low,Close,Volume
02/16/2024,25.1,25.69,25.03,25.66,"68,888"
02/15/2024,25.08,25.59,24.83,25.4,"93,771"
02/14/2024,24.84,25.05,24.53,24.86,"67,079"
02/13/2024,24.43,24.73,24.28,24.32,"1,04,304"
01/31/2024,25.17,25.46,24.48,24.71,"1,01,869"
01/30/2024,25.17,25.48,24.99,25.22,"60,545"
01/29/2024,25.3,25.48,24.8,25.38,"1,24,793"
01/26/2024,25.33,25.64,25.11,25.31,"1,56,362"
01/25/2024,24.69,25.25,24.52,25.17,"99,352"
01/24/2024,24.77,24.91,24.09,24.22,"65,554"
01/23/2024,24.87,25,24.17,24.7,"96,808"
01/22/2024,23.55,24.59,23.5,24.56,"87,934"
01/19/2024,23.33,23.45,22.84,23.41,"1,12,509"
01/18/2024,23.38,23.44,22.91,23.2,"78,404"
01/17/2024,23.15,23.46,23.05,23.25,"68,823"
